Source Term ID	Source Term	Mapped Term Label	Mapped Term IRI	Mapped Term CURIE	IS_DISEASE	IS_MEASUREMENT	IS_PHENOTYPE	IS_AMOUNT	IS_PROCESS
DOID:0111841	Shukla-Vernon syndrome	Shukla-Vernon syndrome	http://www.ebi.ac.uk/efo/EFO_0010278	EFO:0010278	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:0111843	Paganini-Miozzo syndrome	Paganini-Miozzo syndrome	http://www.ebi.ac.uk/efo/EFO_0010261	EFO:0010261	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:10573	osteomalacia	osteomalacia	http://www.ebi.ac.uk/efo/EFO_1002027	EFO:1002027	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:11613	hyperandrogenism	hyperandrogenism	http://www.ebi.ac.uk/efo/EFO_0009006	EFO:0009006	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1373	endometrial stromal nodule	Endometrial Stromal Nodule	http://www.ebi.ac.uk/efo/EFO_1000241	EFO:1000241	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:13938	amenorrhea	amenorrhea	http://www.ebi.ac.uk/efo/EFO_0010269	EFO:0010269	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:13957	uterine corpus lipoleiomyoma	Uterine Corpus Lipoleiomyoma	http://www.ebi.ac.uk/efo/EFO_1000614	EFO:1000614	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1788	peritoneal mesothelioma	Peritoneal Mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000467	EFO:1000467	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:1920	hyperuricemia	hyperuricemia	http://www.ebi.ac.uk/efo/EFO_0009104	EFO:0009104	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:2001	neuroma	neuroma	http://www.ebi.ac.uk/efo/EFO_0009619	EFO:0009619	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:2626	choroid plexus papilloma	Choroid Plexus Papilloma	http://www.ebi.ac.uk/efo/EFO_1000177	EFO:1000177	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:2951	motion sickness	motion sickness	http://www.ebi.ac.uk/efo/EFO_0006928	EFO:0006928	FALSE	FALSE	TRUE	FALSE	FALSE
DOID:3578	ovarian gonadoblastoma	Ovarian Gonadoblastoma	http://www.ebi.ac.uk/efo/EFO_1000420	EFO:1000420	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:3756	protein C deficiency	protein c deficiency	http://www.ebi.ac.uk/efo/EFO_0009316	EFO:0009316	TRUE	FALSE	FALSE	FALSE	FALSE
DOID:3767	vaginal discharge	vaginal discharge	http://www.ebi.ac.uk/efo/EFO_0009365	EFO:0009365	FALSE	FALSE	TRUE	FALSE	FALSE
